Time (ns),Observed Counts,IRF Used,Fitted Counts,Tau (ns),Shift (ns),Chi^2
0.788,-0.073235686,-0.101198402,-0.002346807,,,
0.792,0.926764314,-0.101198402,-0.002388402,,,
0.796,-0.073235686,-0.101198402,-0.002429927,,,
0.8,-0.073235686,-0.101198402,-0.002471384,,,
0.804,-0.073235686,-0.101198402,-0.002512772,,,
0.808,-0.073235686,-0.101198402,-0.002554091,,,
0.812,-0.073235686,-0.101198402,-0.002595342,,,
0.816,-0.073235686,-0.101198402,-0.002636524,,,
0.82,-0.073235686,-0.101198402,-0.002677637,,,
0.824,-0.073235686,0.898801598,-0.002269165,,,
0.828,-0.073235686,-0.101198402,-0.002310888,,,
0.832,0.926764314,-0.101198402,-0.002352543,,,
0.836,-0.073235686,-0.101198402,-0.002394128,,,
0.84,-0.073235686,-0.101198402,-0.002435644,,,
0.844,-0.073235686,-0.101198402,-0.002477091,,,
0.848,-0.073235686,-0.101198402,-0.002518469,,,
0.852,-0.073235686,-0.101198402,-0.002559779,,,
0.856,-0.073235686,0.898801598,-0.002151502,,,
0.86,-0.073235686,-0.101198402,-0.002193421,,,
0.864,-0.073235686,-0.101198402,-0.00223527,,,
0.868,-0.073235686,-0.101198402,-0.00227705,,,
0.872,-0.073235686,-0.101198402,-0.002318761,,,
0.876,-0.073235686,-0.101198402,-0.002360402,,,
0.88,-0.073235686,-0.101198402,-0.002401974,,,
0.884,-0.073235686,-0.101198402,-0.002443477,,,
0.888,-0.073235686,-0.101198402,-0.002484911,,,
0.892,-0.073235686,0.898801598,-0.002076759,,,
0.896,-0.073235686,-0.101198402,-0.002118802,,,
0.9,-0.073235686,-0.101198402,-0.002160775,,,
0.904,-0.073235686,-0.101198402,-0.002202678,,,
0.908,-0.073235686,-0.101198402,-0.002244512,,,
0.912,-0.073235686,-0.101198402,-0.002286277,,,
0.916,-0.073235686,-0.101198402,-0.002327972,,,
0.92,-0.073235686,-0.101198402,-0.002369598,,,
0.924,-0.073235686,-0.101198402,-0.002411154,,,
0.928,-0.073235686,-0.101198402,-0.002452642,,,
0.932,-0.073235686,-0.101198402,-0.002494061,,,
0.936,-0.073235686,-0.101198402,-0.002535411,,,
0.94,-0.073235686,-0.101198402,-0.002576693,,,
0.944,-0.073235686,-0.101198402,-0.002617906,,,
0.948,-0.073235686,0.898801598,-0.002209533,,,
0.952,-0.073235686,-0.101198402,-0.002251355,,,
0.956,-0.073235686,-0.101198402,-0.002293108,,,
0.96,-0.073235686,-0.101198402,-0.002334792,,,
0.964,-0.073235686,-0.101198402,-0.002376407,,,
0.968,-0.073235686,-0.101198402,-0.002417952,,,
0.972,-0.073235686,-0.101198402,-0.002459429,,,
0.976,0.926764314,-0.101198402,-0.002500836,,,
0.98,-0.073235686,-0.101198402,-0.002542175,,,
0.984,-0.073235686,-0.101198402,-0.002583446,,,
0.988,-0.073235686,-0.101198402,-0.002624647,,,
0.992,-0.073235686,-0.101198402,-0.002665781,,,
0.996,-0.073235686,-0.101198402,-0.002706846,,,
1,-0.073235686,-0.101198402,-0.002747843,,,
1.004,-0.073235686,-0.101198402,-0.002788772,,,
1.008,-0.073235686,-0.101198402,-0.002829633,,,
